time,Temp,Flow
0.001,449.19,0
0.033,449.19,0
0.233,449.19,0.005
0.434,449.19,0.01
0.634,449.19,0.015
0.834,449.187,0.021
1.034,449.187,0.025
1.233,449.194,0.03
1.433,449.194,0.035
1.633,449.194,0.04
1.834,449.194,0.045
2.033,449.194,0.051
2.233,449.19,0.056
2.433,449.19,0.062
2.633,449.19,0.067
2.833,449.19,0.073
3.034,449.19,0.079
3.233,449.194,0.085
3.433,449.194,0.091
3.633,449.19,0.097
3.833,449.19,0.103
4.033,449.19,0.11
4.233,449.187,0.117
4.433,449.187,0.123
4.633,449.187,0.13
4.833,449.19,0.137
5.033,449.19,0.144
5.233,449.19,0.151
5.434,449.19,0.158
5.633,449.187,0.165
5.834,449.187,0.173
6.033,449.187,0.18
6.233,449.187,0.188
6.433,449.187,0.196
6.633,449.183,0.204
6.834,449.183,0.211
7.034,449.187,0.22
7.233,449.183,0.228
7.433,449.183,0.236
7.633,449.183,0.244
7.833,449.183,0.253
8.033,449.176,0.261
8.233,449.176,0.27
8.433,449.18,0.279
8.633,449.18,0.288
8.833,449.18,0.297
9.034,449.18,0.306
9.233,449.18,0.315
9.433,449.176,0.324
9.633,449.176,0.333
9.833,449.18,0.343
10.033,449.183,0.352
10.233,449.183,0.363
10.433,449.18,0.372
10.633,449.18,0.382
10.833,449.18,0.392
11.033,449.18,0.402
11.233,449.18,0.412
11.434,449.18,0.423
11.633,449.18,0.433
11.833,449.18,0.443
12.034,449.18,0.454
12.233,449.18,0.465
12.433,449.18,0.476
12.633,449.18,0.486
12.833,449.18,0.498
13.033,449.18,0.508
13.233,449.18,0.52
13.433,449.18,0.531
13.634,449.18,0.542
13.833,449.18,0.553
14.033,449.18,0.565
14.233,449.187,0.576
14.433,449.187,0.589
14.633,449.187,0.6
14.833,449.187,0.612
15.033,449.19,0.624
15.233,449.19,0.636
15.433,449.19,0.648
15.633,449.194,0.661
15.833,449.194,0.672
16.034,449.201,0.685
16.233,449.201,0.697
16.433,449.208,0.71
16.634,449.208,0.722
16.833,449.208,0.736
17.033,449.211,0.748
17.233,449.211,0.761
17.434,449.218,0.774
17.633,449.218,0.787
17.833,449.218,0.8
18.033,449.232,0.814
18.233,449.232,0.827
18.433,449.236,0.841
18.633,449.236,0.854
18.833,449.246,0.868
19.033,449.246,0.881
19.233,449.253,0.895
19.433,449.264,0.908
19.633,449.264,0.923
19.834,449.267,0.938
20.033,449.267,0.951
20.233,449.285,0.966
20.433,449.285,0.979
20.634,449.285,0.994
20.833,449.299,1.008
21.033,449.299,1.023
21.233,449.319,1.037
21.433,449.319,1.053
21.633,449.319,1.067
21.833,449.347,1.082
22.034,449.347,1.097
22.233,449.354,1.112
22.433,449.354,1.127
22.634,449.375,1.142
22.833,449.386,1.157
23.033,449.386,1.173
23.234,449.4,1.188
23.433,449.4,1.204
23.634,449.4,1.219
23.833,449.442,1.235
24.033,449.442,1.25
24.234,449.466,1.266
24.433,449.466,1.281
24.633,449.483,1.298
24.833,449.501,1.313
25.033,449.501,1.33
25.233,449.522,1.345
25.434,449.522,1.362
25.633,449.543,1.378
25.833,449.581,1.395
26.033,449.581,1.41
26.233,449.599,1.428
26.434,449.599,1.443
26.634,449.623,1.461
26.834,449.661,1.477
27.033,449.661,1.494
27.233,449.682,1.51
27.433,449.682,1.528
27.633,449.703,1.544
27.834,449.742,1.562
28.034,449.742,1.579
28.233,449.763,1.596
28.433,449.763,1.614
28.634,449.818,1.631
28.833,449.843,1.649
29.033,449.843,1.665
29.233,449.874,1.683
29.434,449.874,1.7
29.633,449.916,1.719
29.833,449.916,1.736
30.033,449.916,1.754
30.233,450,1.771
30.433,450,1.79
30.634,450.028,1.807
30.833,450.028,1.826
31.034,450.097,1.843
31.233,450.097,1.862
31.433,450.097,1.879
31.633,450.195,1.898
31.833,450.195,1.916
32.033,450.23,1.935
32.233,450.23,1.953
32.433,450.258,1.972
32.633,450.331,1.989
32.833,450.331,2.009
33.033,450.373,2.027
33.233,450.373,2.046
33.434,450.45,2.064
33.633,450.485,2.084
33.833,450.485,2.102
34.033,450.52,2.121
34.233,450.52,2.139
34.433,450.603,2.159
34.633,450.649,2.177
34.833,450.649,2.197
35.033,450.739,2.215
35.233,450.739,2.235
35.434,450.781,2.254
35.633,450.781,2.274
35.833,450.781,2.292
36.034,450.921,2.312
36.233,450.921,2.331
36.433,451.015,2.351
36.633,451.015,2.371
36.833,451.064,2.39
37.033,451.064,2.41
37.233,451.064,2.429
37.433,451.217,2.45
37.633,451.217,2.468
37.833,451.266,2.489
38.033,451.266,2.508
38.233,451.378,2.528
38.433,451.434,2.547
38.633,451.434,2.568
38.834,451.549,2.587
39.033,451.549,2.607
39.234,451.615,2.626
39.433,451.615,2.647
39.633,451.72,2.666
39.834,451.786,2.687
40.033,451.786,2.706
40.233,451.915,2.727
40.434,451.915,2.746
40.633,451.981,2.767
40.833,452.044,2.786
41.033,452.044,2.807
41.233,452.173,2.826
41.433,452.173,2.847
41.633,452.247,2.866
41.833,452.247,2.887
42.034,452.376,2.906
42.233,452.452,2.927
42.433,452.452,2.946
42.634,452.599,2.967
42.833,452.599,2.986
43.033,452.672,3.007
43.234,452.672,3.026
43.433,452.822,3.047
43.633,452.896,3.067
43.834,452.896,3.087
44.033,452.972,3.107
44.234,452.972,3.128
44.433,453.129,3.147
44.633,453.21,3.168
44.834,453.21,3.188
45.033,453.377,3.208
45.233,453.377,3.228
45.433,453.468,3.247
45.633,453.468,3.268
45.833,453.468,3.287
46.034,453.726,3.308
46.233,453.726,3.327
46.433,453.81,3.348
46.633,453.81,3.367
46.833,453.988,3.387
47.033,454.075,3.406
47.233,454.075,3.427
47.433,454.267,3.446
47.633,454.267,3.466
47.834,454.361,3.485
48.033,454.361,3.505
48.233,454.55,3.524
48.433,454.55,3.544
48.633,454.55,3.563
48.833,454.843,3.583
49.033,454.843,3.601
49.233,454.951,3.622
49.433,454.951,3.64
49.633,455.146,3.66
49.833,455.258,3.678
50.034,455.258,3.698
50.233,455.363,3.717
50.433,455.363,3.736
50.633,455.576,3.755
50.833,455.684,3.774
51.034,455.684,3.792
51.233,455.904,3.812
51.433,455.904,3.83
51.633,456.015,3.849
51.833,456.015,3.867
52.033,456.015,3.886
52.234,456.357,3.905
52.433,456.357,3.923
52.634,456.473,3.942
52.833,456.473,3.96
53.033,456.706,3.978
53.234,456.829,3.996
53.434,456.829,4.014
53.633,457.062,4.032
53.833,457.062,4.05
54.033,457.188,4.067
54.233,457.188,4.086
54.433,457.188,4.103
54.634,457.569,4.121
54.833,457.569,4.138
55.034,457.691,4.156
55.233,457.691,4.172
55.433,457.691,4.19
55.633,458.075,4.207
55.833,458.075,4.225
56.033,458.336,4.241
56.233,458.336,4.259
56.433,458.336,4.275
56.633,458.602,4.292
56.833,458.602,4.308
57.033,458.87,4.325
57.233,458.87,4.341
57.434,459.01,4.358
57.633,459.01,4.374
57.833,459.01,4.39
58.034,459.425,4.406
58.234,459.425,4.423
58.433,459.715,4.438
58.633,459.715,4.454
58.833,459.855,4.47
59.033,460.148,4.486
59.233,460.148,4.501
59.433,460.291,4.517
59.633,460.291,4.532
59.833,460.437,4.547
60.033,460.437,4.562
60.233,460.727,4.578
60.434,460.881,4.593
60.633,460.881,4.608
60.833,461.181,4.622
61.034,461.181,4.637
61.233,461.334,4.651
61.433,461.638,4.666
61.633,461.638,4.681
61.833,461.806,4.695
62.033,461.806,4.71
62.233,461.959,4.723
62.434,462.273,4.738
62.633,462.273,4.751
62.833,462.434,4.766
63.034,462.434,4.779
63.233,462.748,4.793
63.433,462.748,4.806
63.634,462.748,4.82
63.833,463.083,4.833
64.033,463.083,4.847
64.233,463.404,4.859
64.434,463.404,4.873
64.633,463.404,4.885
64.833,463.907,4.899
65.033,463.907,4.911
65.233,464.074,4.924
65.433,464.074,4.936
65.633,464.409,4.949
65.833,464.577,4.961
66.033,464.577,4.974
66.233,464.751,4.986
66.434,464.751,4.999
66.633,465.097,5.01
66.833,465.097,5.023
67.034,465.097,5.034
67.233,465.616,5.047
67.433,465.616,5.058
67.634,465.794,5.07
67.833,465.794,5.081
68.034,466.143,5.093
68.233,466.143,5.104
68.433,466.143,5.116
68.634,466.677,5.127
68.833,466.677,5.138
69.033,466.862,5.149
69.233,466.862,5.16
69.433,467.221,5.171
69.633,467.403,5.182
69.833,467.403,5.192
70.033,467.584,5.203
70.233,467.584,5.214
70.433,467.947,5.224
70.633,467.947,5.235
70.833,467.947,5.245
71.033,468.502,5.255
71.233,468.502,5.265
71.433,468.69,5.275
71.633,468.69,5.285
71.833,469.063,5.295
72.033,469.063,5.305
72.233,469.063,5.315
72.433,469.625,5.324
72.633,469.625,5.334
72.833,469.817,5.343
73.033,469.817,5.353
73.233,469.817,5.362
73.433,470.389,5.372
73.633,470.389,5.381
73.833,470.577,5.39
74.033,470.577,5.399
74.233,470.964,5.408
74.433,471.156,5.417
74.633,471.156,5.426
74.833,471.54,5.435
75.034,471.54,5.444
75.233,471.732,5.452
75.434,471.732,5.461
75.633,471.732,5.469
75.833,472.31,5.478
76.033,472.31,5.486
76.233,472.509,5.495
76.433,472.509,5.503
76.633,472.9,5.511
76.833,473.095,5.519
77.033,473.095,5.527
77.233,473.492,5.535
77.433,473.492,5.543
77.634,473.688,5.552
77.833,473.688,5.559
78.033,474.082,5.567
78.233,474.28,5.575
78.433,474.28,5.583
78.633,474.475,5.59
78.833,474.475,5.598
79.033,474.866,5.605
79.234,475.061,5.613
79.433,475.061,5.62
79.633,475.465,5.627
79.833,475.465,5.634
80.035,475.667,5.642
80.233,475.667,5.649
80.433,476.061,5.656
80.633,476.263,5.663
80.833,476.263,5.67
81.033,476.458,5.677
81.234,476.458,5.684
81.434,476.859,5.69
81.633,476.859,5.698
81.833,476.859,5.704
82.033,477.462,5.711
82.233,477.462,5.717
82.433,477.661,5.724
82.633,477.661,5.73
82.833,478.058,5.737
83.034,478.26,5.743
83.233,478.26,5.75
83.434,478.66,5.756
83.633,478.66,5.763
83.833,478.866,5.769
84.034,478.866,5.775
84.233,478.866,5.781
84.433,479.454,5.787
84.633,479.454,5.793
84.833,479.653,5.8
85.033,479.653,5.805
85.233,480.06,5.812
85.434,480.259,5.818
85.633,480.259,5.823
85.833,480.659,5.829
86.033,480.659,5.835
86.233,480.861,5.84
86.433,480.861,5.846
86.633,480.861,5.852
86.833,481.46,5.858
87.034,481.46,5.864
87.234,481.662,5.869
87.433,481.662,5.875
87.634,482.052,5.88
87.833,482.052,5.886
88.033,482.052,5.891
88.233,482.65,5.896
88.433,482.65,5.901
88.633,482.852,5.907
88.834,482.852,5.912
89.033,483.249,5.918
89.233,483.444,5.923
89.433,483.444,5.928
89.633,483.638,5.933
89.834,483.638,5.938
90.033,484.038,5.943
90.233,484.233,5.948
90.433,484.233,5.953
90.633,484.63,5.958
90.833,484.63,5.963
91.033,484.828,5.968
91.233,484.828,5.973
91.433,484.828,5.978
91.633,485.412,5.983
91.833,485.412,5.988
92.034,485.607,5.992
92.234,485.607,5.997
92.433,486.003,6.002
92.633,486.198,6.007
92.833,486.198,6.011
93.033,486.584,6.016
93.233,486.584,6.021
93.433,486.782,6.025
93.633,486.782,6.03
93.833,487.168,6.035
94.033,487.359,6.039
94.234,487.359,6.044
94.433,487.745,6.048
94.633,487.745,6.053
94.834,487.94,6.057
95.033,487.94,6.062
95.233,488.315,6.066
95.434,488.51,6.07
95.633,488.51,6.075
95.833,488.701,6.079
96.033,488.701,6.083
96.233,489.09,6.088
96.434,489.09,6.092
96.633,489.09,6.096
96.833,489.653,6.101
97.033,489.653,6.105
97.233,489.844,6.109
97.433,489.844,6.113
97.633,490.215,6.117
97.834,490.215,6.121
98.033,490.215,6.126
98.233,490.781,6.13
98.433,490.781,6.134
98.634,490.965,6.138
98.833,490.965,6.142
99.033,491.153,6.146
99.233,491.521,6.15
99.433,491.521,6.154
99.634,491.708,6.158
99.833,491.708,6.162
100.033,492.069,6.166
100.233,492.069,6.17
100.433,492.253,6.174
100.633,492.614,6.178
100.833,492.614,6.182
101.033,492.798,6.185
101.234,492.798,6.189
101.433,493.166,6.193
101.633,493.339,6.197
101.833,493.339,6.201
102.033,493.52,6.205
102.233,493.52,6.208
102.433,493.888,6.212
102.633,493.888,6.216
102.833,494.068,6.22
103.033,494.425,6.224
103.233,494.425,6.227
103.433,494.602,6.231
103.634,494.602,6.235
103.833,494.959,6.239
104.033,495.126,6.242
104.233,495.126,6.246
104.434,495.479,6.249
104.633,495.479,6.253
104.833,495.653,6.257
105.033,495.653,6.261
105.234,495.999,6.264
105.433,496.173,6.268
105.633,496.173,6.271
105.833,496.353,6.275
106.033,496.353,6.278
106.233,496.696,6.282
106.434,496.696,6.286
106.633,496.696,6.289
106.833,497.209,6.293
107.033,497.209,6.296
107.234,497.379,6.3
107.433,497.379,6.303
107.634,497.711,6.307
107.833,497.711,6.311
108.033,497.711,6.314
108.233,498.221,6.317
108.433,498.221,6.321
108.633,498.384,6.324
108.833,498.384,6.328
109.034,498.716,6.331
109.233,498.716,6.335
109.433,498.889,6.338
109.633,499.055,6.342
109.833,499.055,6.345
110.033,499.377,6.349
110.233,499.377,6.352
110.434,499.537,6.356
110.633,499.866,6.359
110.833,499.866,6.362
111.033,500.032,6.366
111.233,500.032,6.369
111.433,500.35,6.372
111.634,500.35,6.376
111.834,500.35,6.379
112.033,500.669,6.383
112.233,500.669,6.386
112.433,500.984,6.389
112.634,500.984,6.393
112.833,501.143,6.396
113.034,501.143,6.399
113.233,501.143,6.403
113.433,501.617,6.406
113.633,501.617,6.409
113.834,501.928,6.413
114.033,501.928,6.416
114.233,502.08,6.419
114.434,502.08,6.423
114.633,502.08,6.426
114.833,502.551,6.429
115.033,502.551,6.433
115.234,502.848,6.436
115.434,502.848,6.439
115.633,503.007,6.442
115.833,503.007,6.446
116.033,503.007,6.449
116.234,503.46,6.452
116.433,503.46,6.456
116.633,503.761,6.459
116.833,503.761,6.462
117.034,503.913,6.465
117.234,503.913,6.469
117.434,503.913,6.472
117.633,504.352,6.475
117.833,504.352,6.478
118.033,504.497,6.481
118.234,504.497,6.485
118.433,504.791,6.488
118.634,504.791,6.491
118.833,504.791,6.494
119.033,505.226,6.497
119.233,505.226,6.501
119.434,505.375,6.504
119.634,505.375,6.507
119.834,505.375,6.51
120.033,505.8,6.514
120.233,505.8,6.517
120.434,505.942,6.52
120.633,505.942,6.523
120.833,506.218,6.526
121.033,506.366,6.53
121.234,506.366,6.533
121.433,506.643,6.536
121.633,506.643,6.539
