Time [ms],Set flow [L/min],Actual flow [L/min],Set pressure [mbar],Actual pressure [mbar],Temp 1 [°C],Temp 2 [°C],Ambient temp [°C],Total flow [L],Supply pressure [mbar]
1.000,0.014,1.000,500.000,0.000,171.120,19.431,19.445,97.542,6122.900
134.000,1.000,1.000,500.000,0.000,171.120,19.431,19.445,97.544,6122.900
334.000,0.994,1.000,500.000,0.000,171.120,19.431,19.445,97.547,6122.900
534.000,0.999,1.000,500.000,0.000,171.120,19.431,19.445,97.550,6122.900
734.000,0.961,0.962,500.000,22.300,171.131,19.487,19.504,97.554,6121.000
934.000,0.963,1.000,500.000,22.300,171.131,19.487,19.504,97.557,6121.000
1134.000,0.916,0.900,500.000,59.600,171.131,19.522,19.536,97.560,6118.300
1334.000,0.911,0.978,500.000,59.600,171.131,19.522,19.536,97.563,6118.300
1535.000,0.995,1.000,500.000,59.600,171.131,19.522,19.536,97.566,6118.300
1734.000,0.991,0.958,500.000,81.400,171.124,19.546,19.560,97.569,6115.500
1934.000,0.987,1.000,500.000,81.400,171.124,19.546,19.560,97.573,6115.500
2134.000,1.004,1.000,500.000,71.400,171.096,19.584,19.612,97.576,6113.000
2334.000,0.999,1.000,500.000,71.400,171.096,19.584,19.612,97.579,6113.000
2534.000,0.997,1.000,500.000,71.400,171.096,19.584,19.612,97.583,6113.000
2734.000,0.996,1.000,500.000,71.400,171.096,19.584,19.612,97.586,6113.000
2934.000,0.999,1.000,500.000,71.400,171.096,19.584,19.612,97.589,6113.000
3134.000,1.002,1.000,500.000,52.400,171.023,19.605,19.605,97.593,6107.800
3334.000,0.996,1.000,500.000,52.400,171.023,19.605,19.605,97.596,6107.800
3534.000,1.002,1.000,500.000,48.300,170.967,19.615,19.626,97.599,6105.300
3734.000,0.996,1.000,500.000,48.300,170.967,19.615,19.626,97.603,6105.300
3934.000,0.997,1.000,500.000,48.300,170.967,19.615,19.626,97.606,6105.300
4134.000,1.001,1.000,500.000,45.800,170.915,19.640,19.647,97.609,6102.500
4334.000,0.999,1.000,500.000,45.800,170.915,19.640,19.647,97.613,6102.500
4534.000,0.999,1.000,500.000,44.100,170.866,19.657,19.661,97.616,6099.800
4734.000,0.999,1.000,500.000,44.100,170.866,19.657,19.661,97.619,6099.800
4934.000,1.002,1.000,500.000,43.000,170.810,19.654,19.654,97.623,6097.300
5135.000,0.996,1.000,500.000,43.000,170.810,19.654,19.654,97.626,6097.300
5335.000,0.999,1.000,500.000,43.000,170.810,19.654,19.654,97.629,6097.300
5535.000,0.996,1.000,500.000,42.500,170.747,19.657,19.661,97.633,6094.800
5734.000,0.995,1.000,500.000,42.500,170.747,19.657,19.661,97.636,6094.800
5934.000,0.999,1.000,500.000,41.900,170.698,19.657,19.647,97.639,6092.300
6134.000,0.997,1.000,500.000,41.900,170.698,19.657,19.647,97.643,6092.300
6334.000,0.999,1.000,500.000,41.900,170.698,19.657,19.647,97.646,6092.300
6534.000,1.002,1.000,500.000,41.400,170.636,19.650,19.661,97.649,6089.800
6734.000,0.999,1.000,500.000,41.400,170.636,19.650,19.661,97.653,6089.800
6934.000,1.000,1.000,500.000,41.100,170.583,19.667,19.671,97.656,6087.300
7134.000,0.998,1.000,500.000,41.100,170.583,19.667,19.671,97.659,6087.300
7336.000,1.003,1.000,500.000,40.800,170.524,19.671,19.667,97.663,6084.900
7534.000,1.001,1.000,500.000,40.800,170.524,19.671,19.667,97.666,6084.900
7734.000,1.001,1.000,500.000,40.800,170.524,19.671,19.667,97.669,6084.900
7934.000,1.000,1.000,500.000,40.500,170.479,19.664,19.664,97.673,6082.400
8134.000,1.000,1.000,500.000,40.500,170.479,19.664,19.664,97.676,6082.400
8334.000,1.000,1.000,500.000,40.500,170.427,19.661,19.664,97.679,6079.900
8534.000,0.999,1.000,500.000,40.500,170.427,19.661,19.664,97.683,6079.900
8734.000,1.000,1.000,500.000,40.500,170.427,19.661,19.664,97.686,6079.900
