Time [ms],Set flow [L/min],Actual flow [L/min],Set pressure [mbar],Actual pressure [mbar],Temp 1 [°C],Temp 2 [°C],Ambient temp [°C],Total flow [L],Supply pressure [mbar]
1.000,0.000,1.493,500.000,2.200,161.464,161.464,161.471,0.000,5110.000
116.000,1.508,1.522,500.000,2.200,161.464,161.464,161.471,0.003,5110.000
316.000,1.516,1.572,500.000,2.200,161.464,161.464,161.471,0.008,5110.000
516.000,1.591,1.622,500.000,2.200,161.464,161.464,161.471,0.013,5110.000
716.000,1.660,1.670,500.000,2.500,161.471,161.471,161.471,0.019,5109.200
916.000,1.690,1.720,500.000,2.500,161.471,161.471,161.471,0.024,5109.200
1116.000,1.716,1.770,500.000,2.500,161.471,161.471,161.471,0.030,5109.200
1316.000,1.782,1.820,500.000,2.500,161.471,161.471,161.471,0.036,5109.200
1516.000,1.510,1.470,500.000,103.700,161.475,161.482,161.489,0.041,5102.300
1716.000,1.507,1.600,500.000,103.700,161.475,161.482,161.489,0.046,5102.300
1916.000,1.635,1.640,500.000,103.700,161.475,161.482,161.489,0.052,5102.300
2116.000,1.624,1.582,500.000,128.500,161.492,161.489,161.492,0.057,5095.400
2317.000,1.628,1.641,500.000,128.500,161.492,161.489,161.492,0.063,5095.400
2516.000,1.647,1.678,500.000,128.500,161.492,161.489,161.492,0.068,5095.400
2716.000,1.711,1.715,500.000,128.500,161.492,161.489,161.492,0.074,5095.400
2917.000,1.718,1.735,500.000,132.900,161.496,161.499,161.503,0.079,5089.100
3116.000,1.766,1.776,500.000,132.900,161.496,161.499,161.503,0.085,5089.100
3316.000,1.784,1.813,500.000,132.900,161.496,161.499,161.503,0.091,5089.100
3516.000,1.833,1.849,500.000,132.900,161.496,161.499,161.503,0.097,5089.100
3717.000,1.848,1.886,500.000,132.900,161.496,161.499,161.503,0.103,5089.100
3917.000,1.907,1.923,500.000,132.900,161.496,161.499,161.503,0.110,5089.100
4116.000,1.927,1.959,500.000,132.900,161.496,161.499,161.503,0.116,5089.100
